Continent,Country,Region,State,Name of VC,Year of Establishment,Type of Investor,Website,Postal Address,Pincode,LinkedIn Details,Phone Details,Email Address,,Subvertical Industry,Investment Stage,Investment Amount Minimum,Investment Amount Maximum,Previously Invested Total Amount,Total number of companies funded so far,Latitude,Longitude,Code 
north america,united states of america,northeast,massachusetts,kepha partners,,venture capital,https://www.kephapartners.com/,"303 wyman street, suite 300   waltham, ma ",2451,NaN,NaN,NaN,,"advertising,consumer,fintech,saas,security ","early stage venture
late stage venture
seed ",500000,16700000,141050000,36,42.361145,-71.057083,ma
north america,united states of america,northeast,massachusetts,nextview ventures,2010,venture capital,http://www.nextviewventures.com/,"179 lincoln street, #404
boston, ma ",2111,http://www.linkedin.com/company/nextview-ventures,NaN,NaN,,"consumer,finance,internet,venture capital ","debt
seed",350000,100000000,760377000,113,42.361145,-71.057083,ma
north america,united states of america,northeast,massachusetts,progress ventures,2008,venture capital,http://www.progressventures.com/,"50 milk street, 16th floor, boston, ma ",2109,http://www.linkedin.com/company/progress-ventures,(+1)212-609-6914 ,"
contact@progressventures.com ",,"advertising,media,entertainment ","debt
early stage venture, late stage venture
seed ",500000,25000000,51100000,11,42.361145,-71.057083,ma
north america,united states of america,northeast,massachusetts,project 11,2014,venture capital,http://www.project11.com/,NaN,NaN,https://www.linkedin.com/company/1550903,NaN,"
bob@project11.com ",,"advertising,consumer,information technology,mobile,security,venture capital ",seed,120000,5500000,21420000,21,42.361145,-71.057083,ma
north america,united states of america,northeast,massachusetts,resolute vc,2012,venture capital,http://www.resolute.vc/,NaN,NaN,https://www.linkedin.com/company/resolute-ventures,NaN,NaN,,"business development,financial services,venture capital","early stage venture
seed ",200000,38000000,424675000,80,42.361145,-71.057083,ma
north america,usa,west,california,10x greenhouse ventures,,venture capital,http://www.10xgreenhouse.com/,"839 mitten road
 burlingame, ca 94010
 united states",94010,NaN,(+1)650-697-7120,pquadros@10xgreenhouse.com,,life science,early stage,1500000,21000000,22000000,3,36.778259,-119.417931,ca
north america,usa,west,california,137 ventures,2010,private equity firm,http://137ventures.com/,"49 greay street
 san francisco, ca 94108
 united states",94108,NaN,(+1)415-513-5222,info@137ventures.com,,"investment management,advisory",early stage,4000000,85000000,219000000,15,36.778259,-119.417931,ca
north america,united states of america,west,california,500 startups,2010,private,http://500.co/,"444 castro street suite 1200
mountain view, ca 34041
 ",34041,https://in.linkedin.com/company/500-startups,NaN,christine@500startups.com,,"mobile,ecommerce,cloud storage,big data,education,saas,biotech,advertising,manufacturing","early stage, seed",10000,85000000,2500000000,1666,36.778259,-119.417931,ca
north america,usa,west,california,5am venture,2002,private,http://5amventures.com/,501 second street suite 350 san francisco ca94107,94107,https://www.linkedin.com/in/5am-ventures-347813137,(+1)415-993-8570,info@5amventures.com,,"medical,scientific,legal and finace",all,5000000,80000000,523300000,109,36.778259,-119.417931,ca
north america,united states of america,west,california,5am ventures,2002,private,http://www.5amventures.com/,"501 second street
suite 350
san francisco, ca 94107
 ",94107,https://in.linkedin.com/company/5amventures,(+1) 415-993-8570,NaN,,"pharmaceuticals,biotechnology","seed , growth stage, early stage",1000000,94000000,3200000000,110,36.778259,-119.417931,ca
north america,usa,west,california,8vc,2015,private firm,www.8vc.com,"501 2nd st #300, san francisco",94107,https://www.linkedin.com/company/10317593/?trk=prof-exp-company-name,(+1) 415-366-8422,media@8vc.com,,it infrastructure,NaN,2000000,70000000,NaN,72,36.778259,-119.417931,ca
north america,usa,west,california,a-grade investments,2010,private equity firm,http://www.agradeinvestments.com/,"los angeles, ca
 united states",NaN,NaN,NaN,NaN,,technology,all,750000,200000000,728840000,49,36.778259,-119.417931,ca
north america,usa,west,california,aberdare ventures,1999,private firm,http://www.aberdare.com/,"235 montgomery street
 suite 1230
 san francisco, ca 94104
 united states",94104,https://www.linkedin.com/company/aberdare-ventures/,(+1)415-392-4264,NaN,,healthcare,all,100000,58000000,720000000,63,36.778259,-119.417931,ca
north america,united states of america,west,california,abs capital partners,1990,private,http://www.abscapital.com/,"400 east pratt street
suite 910
baltimore, md 21202-3127
 ",NaN,https://www.linkedin.com/company/abs-capital-partners/?originalsubdomain=in,(+1) 410-246-5600,abscapital@abscapital.com,,"business and education services,information and communication,technology,healthcare",NaN,2500000,70000000,1500000000,70,36.778259,-119.417931,ca
north america,usa,west,california,acacia venture partners,1995,venture capital,http://www.acaciavp.com/,"235 montgomery street
 suite 967
 san francisco, ca 94104
 united states",94104,NaN,(+1)415-433-4200,NaN,,healthcare,early stage,6700000,30000000,NaN,16,36.778259,-119.417931,ca
north america,united states of america,west,california,accel partners,1983,private,http://www.accel.com/,"500 university avenue
palo alto, ca 94301
 ",94301,https://www.linkedin.com/company/accel-partners/?originalsubdomain=in,(+1) 650-614-4800,NaN,,"software,mobile,big data,internet of things,security","seed , startups, early stage, growth stage",100000,1794000000,30000000000,1165,36.778259,-119.417931,ca
north america,usa,west,california,accel-kkr llc,2002,private equity firm,www.accel-kkr.com,"2500 sand hill road
 
 suite 300
 menlo park, ca 94025
 united states",94025,http://www.linkedin.com/company/57752,(+1)650-289-2460,inquiries@accel-kkr.com,,"mezzanine investments,buyouts",all,10000000,140000000,442000000,40,36.778259,-119.417931,ca
north america,usa,west,california,accer technology ventures america,1998,private equity firm,http://www.idsoftcapital.com/,"2641 orchard parkway
 
 san jose, ca 95134
 united states",95134,NaN,(+1)408-922-2933,info@idsoftcapital.com,,enterprice software,early stage,1000000,37000000,242000000,21,36.778259,-119.417931,ca
north america,usa,west,california,acer technology ventures,1998,venture capital,http://www.idsoftcapital.com/,"2641 orchard parkway
 
 san jose, ca 95134
 
 united states",95134,NaN,(+1) 408-922-2933,info@idsoftcapital.com,,NaN,early stage,1000000,28000000,242580000,21,36.778259,-119.417931,ca
north america,usa,west,california,acorn ventures inc,,venture capital,http://www.acorn-ventures.com/,"2635 north first street
 suite 148
 san jose, ca 95134
 united states",95134,NaN,(+1)510-459-6500,partners@acorn-ventures.com,,"mezzanine financing,angel investment,private placement","seed, early stage, start-ups",7500000,25000000,32500000,2,36.778259,-119.417931,ca
north america,usa,west,california,"acuity ventures, llc",,venture capital,http://www.acuityventures.com/,"1960 the alameda
 
 suite 200
 
 san jose, ca 95126-1441
 
 united states",95126,NaN,(+1) 408-210-8394,NaN,,"financial service,investment services",early stage,NaN,NaN,NaN,2,36.778259,-119.417931,ca
north america,usa,west,california,adobe ventures,,venture capital,http://www.adobe.com/ventures.html,"345 park avenue
 san jose, ca 95110-2704
 united states",95110,NaN,(+1)408-536-6000,newventure@adobe.com,,"communications,enterprise software,imaging,media and publishing,internet infrastructure",all,2000000,30000000,NaN,NaN,36.778259,-119.417931,ca
north america,united states of america,west,california,advanced technology ventures,1979,private,http://www.atvcapital.com/,"2884 sand hill road
suite 121
menlo park, ca 94025
 ",94025,NaN,(+1) 650-321-8601,info@atvcapital.com,,"it,healthcare,clean tech","seed , startups, early stage, later/mature stage, growth stage",250000,150000000,4500000000,233,36.778259,-119.417931,ca
north america,united states of america,west,california,af square,,venture capital,http://afsquare.com/,NaN,NaN,NaN,"
(+1)310-828-7200 ","
info@afsquare.com ",,"finance,fintech ",NaN,350000,250000000,560135000,44,36.778259,-119.417931,ca
north america,usa,west,california,agilent ventures,2000,corporate venture capital,NaN,"5301 stevens creek blvd
 santa clara, ca 95051
 united states",95051,NaN,NaN,NaN,,"wireline and optical communications,wireless communications,and life sciences",early stage,7000000,60000000,NaN,7,36.778259,-119.417931,ca
north america,usa,west,california,akers capital,,venture capital,http://www.akerscapital.com/,"5207 sunrise boulevard
 
 suite 220
 
 fair oaks, ca 95628
 
 united state",95628,NaN,(+1) 916-966-2236,NaN,,"internet infrastructure,computer software ",early stage,2800000,7000000,9800000,2,36.778259,-119.417931,ca
north america,usa,west,california,alacrity ventures,,angel group,http://www.alacritymanagement.com/,"1563 solano avenue
 suite 353
 berkeley, ca 94707-2116
 united states",94707,NaN,(+1)510-649-4030,invest@alacrityventures.com,,"internet,security,privacy,",NaN,1200000,2500000,3700000,2,36.778259,-119.417931,ca
north america,usa,west,california,alafi capital,,venture capital,http://www.alafi.com/,"1333 jones street
 suite 1702
 san francisco, ca 94109
 united states",94109,NaN,NaN,bill@alafi.com,,"biotechnology,life science technologies,imaging and diagnostics,medical devices companies",all,2700000,50000000,171000000,13,36.778259,-119.417931,ca
north america,usa,west,california,"alexandria real estate equities, llc",1994,private firm,http://www.are.com,"385 east colorado boulevard, suite 299, pasadena",1832,https://www.linkedin.com/company/alexandria-real-estate-equities-inc-/,(+1) 626-578-0777,corporateinformation@are.com,,"engineering,asset management,laboratory operations,life science,construction,planning,health,environment","early stage venture, 
late stage venture",1500000,76000000,712300000,37,36.778259,-119.417931,ca
north america,united states of america,west,california,alexandria venture investments,1996,private,http://www.acks.com/venture.shtml,"385 east colorado blvd
 suite 299
 pasadena, ca 91101
  ",91101,https://www.linkedin.com/company/alexandria-real-estate-equities-inc-,(+1) 626-578-0777,tandrews@are.com,,"pharmaceuticals,biotechnology",NaN,5900000,500000000,1800000000,29,36.778259,-119.417931,ca
NaN,NaN,west,california,"allegiance capital, l.p.",1988,private equity firm,http://www.allegiancecapital.com/,"300 pacific coast highway
 suite 405
 huntington beach, ca 92648
 
 united states",92648,NaN,(+1)714-969-0521,NaN,,"capital management,asset management,taxes",early stage,15000000,15000000,15000000,1,36.778259,-119.417931,ca
north america,usa,west,california,allegis capital,1982,NaN,http://www.allegiscapital.com/,"525 university avenue
 suite 220
 palo alto, ca 94301
 united states",94301,https://www.linkedin.com/company-beta/50855/,(+1)650-687-0500,vc@allegiscapital.com,,"cyber security,data analytics,and technology",all,400000,35000000,1700000000,97,36.778259,-119.417931,ca
north america,united states of america,west,california,alloy ventures,1996,private,http://www.alloyventures.com/,"1415 hamilton avenue
palo alto, ca 94301
 ",94301,https://in.linkedin.com/company/alloy-ventures,NaN,info@alloyventures.com,,"software,systems,mobile,semiconductor,life sciences,clean technology","seed , startups, early stage",700000,132000000,3300000000,170,36.778259,-119.417931,ca
north america,united states of america,west,california,alsop louie partners,2006,private,http://www.alsop-louie.com/,"943 howard st, san francisco, ca 94103",94103,https://in.linkedin.com/company/alsop-louie-partners,NaN,NaN,,"new media,gaming,saas,cloud infrastructure,security,mobile","growth stage, early stage",1000000,33500000,504000000,67,36.778259,-119.417931,ca
north america,usa,west,california,alta partners,1996,private equity firm,http://www.altapartners.com/,"one embarcadero center
 37th floor
 san francisco, ca 94111
 united states",94111,https://www.linkedin.com/company/alta-partners/,(+1) 415-362-4022,alta@altapartners.com,,"lifescience,biotechnology,medical technology,healthcare,biopharmaceutical product",all,5000000,750000000,NaN,202,36.778259,-119.417931,ca
north america,usa,west,california,altos ventures,1996,venture capital,http://www.altos.vc/,"2882 sand hill road
 suite 100
 menlo park, ca 94025
 united states",94025,https://www.linkedin.com/company/395378,NaN,info@altos.vc,,NaN,all,680000,65000000,NaN,158,36.778259,-119.417931,ca
north america,usa,west,california,"altotech ventures, llc",2000,venture capital,NaN,"707 menlo avenue
 suite 120
 menlo park, ca 94025
 united states",94025,NaN,(+1)650-574-1870,NaN,,"networking,cloud security software,semiconductor,cleantech,and telecommunications",NaN,NaN,NaN,NaN,NaN,36.778259,-119.417931,ca
north america,usa,west,california,ambex venture group,1996,NaN,http://www.ambex.com/,"1245 oakmead parkway
 sunnyvale, ca 94085
 united states",94085,NaN,(+1)408-523-6000,info@ambex.com,,"information technology,health science,financial service",NaN,NaN,NaN,NaN,NaN,36.778259,-119.417931,ca
north america,united states of america,west,california,ame cloud ventures,2012,private,http://www.amecloudventures.com/,"720 university avenue
suite 200
los gatos, ca 95032
 ",95032,https://www.linkedin.com/company/ame-cloud-ventures/?originalsubdomain=in,NaN,pr@amecloudventures.com,,software,"early stage, growth stage",100000,160000000,2900000000,187,36.778259,-119.417931,ca
north america,usa,west,california,american river ventures,2001,venture capital,http://www.arventures.com/,"1355 38th street
 
 sacramento, ca 95816
 
 united states",95816,NaN,NaN,NaN,,"software,semiconductors,communications,electronics","early stage venture, late stage venture",1500000,30000000,272500000,28,36.778259,-119.417931,ca
north america,usa,west,california,amgen ventures,2004,venture capital,http://www.amgen.com/,"1 amgen center drive
 thousand oaks, ca 91320-1799
 united states",91320,http://www.linkedin.com/company/amgen,(+1) 805-447-1000,investor.relations@amgen.com,,biotechnology,startups,6000000,30000000,NaN,63,36.778259,-119.417931,ca
north america,usa,west,california,amidzad partners,1998,private equity firm,http://www.amidzad.com/,"370 convention way
 redwood city, ca 94063
 united states",94063,NaN,(+1) 650-216-2384,marc@amidzad.com,,"information technology,life science",all,320000,26000000,123200000,45,36.778259,-119.417931,ca
north america,usa,west,california,"andreessen
 horowitz",2009,private firm,https://a16z.com,"2865 sand hill road, suite 101
menlo park,ca",94025,https://www.linkedin.com/company/andreessen-horowitz/?originalsubdomain=in,NaN,"businessplans
@a16z.com",,internet,"early stage
late stage",3000000,502000000,NaN,598,36.778259,-119.417931,ca
north america,usa,west,california,"andreessen 
horowitz",2009,private firm,www.a16z.com,"2865 sand hill rd, menlo park, ca",94025,https://www.linkedin.com/company/andreessen-horowitz/?originalsubdomain=in,NaN,businessplans@a16z.com,,consumer and enterprise technology ,"debt, early stage venture,
 late stage venture, 
private equity, 
seed",NaN,NaN,7100000000,598,36.778259,-119.417931,ca
north america,usa,western,california,andreessen horowitz,2009,private equity firm,www.a16z.com,"2865 sand hill road
suite 101
menlo park, ca 94025
united states",94025,https://www.linkedin.com/company/andreessen-horowitz,NaN,businessplans@a16z.com,,"social media,technology,software,backend infrastructure,cloud computing,enterprise software and services,financial technology,consumer,business internet,mobile internet,data storage,networking functions,biotechnology,life sciences,computational medicine",early and late stage,10000,100000000,6300000000,589,36.778259,-119.417931,ca
north america,usa,west,california,angellist,2010,angel group,http://angel.co/,"16 maiden lane
 suite 600
 san francisco, ca 94108
 united states",94108,http://www.linkedin.com/company/angellist,(+1)650-851-1735,team@angel.co,,human resources,"early stage, start-ups",500000,100000000,3542000000,44,36.778259,-119.417931,ca
north america,usa,west,california,anthem venture partner,2000,venture capital,http://www.anthemvp.com/,"225 arizona avenue suite 200,santa monica ca 90401",90401,https://in.linkedin.com/company/anthem-venture-partners,(+1) 310-899-6225,"
info@anthemvp.com",,"information technology,software,semiconductors,new media ","private equity
seed
early stage
late stage",1000000,5000000,NaN,NaN,36.778259,-119.417931,ca
north america,usa,west,california,applied ventures,,corporate venture capital,http://appliedventures.com/,"3050 bowers avenue
 
 ms 0105
 
 p.o. box 58039
 
 santa clara, ca 95054-8039
 
 united states",95054,http://www.linkedin.com/company/applied-materials,(+1)408-235-668,applied_ventures@amat.com,,"iot, 3d printing,robotics,genomics/biologics,energy,cleantech,nanotechnology",all,1500000,131000000,295440000,55,36.778259,-119.417931,ca
north america,usa,west,california,apv technology partners,,venture capital,NaN,"2370 watson court
 
 suite 200
 
 palo alto, ca 94303-3226
 
 united states",94303,NaN,(+1) 650-354-3200,NaN,,it,growth stage,4300000,58600000,541090000,23,36.778259,-119.417931,ca
north america,usa,west,california,"aragon ventures, inc.",1998,private equity firm,http://www.aragonventures.com/,"1455 adams drive
 
 suite 1010
 menlo park, ca 94025
 united states",94025,NaN,(+1)650-566-8000,info@aragonventures.com,,high technology enterprice,early stage,2000000,16500000,18500000,2,36.778259,-119.417931,ca
north america,usa,west,california,arcturus capital,,venture capital,http://www.arcturusvc.com/,"199 south los robles avenue
 suite 535
 pasadena, ca 91101
 united states",91101,NaN,(+1)626-578-5700,info@arcturusvc.com,,"venture capital investing,professional investment management ,executive operating experience,advanced scientific research services",early stage,2000000,37400000,172500000,15,36.778259,-119.417931,ca
north america,usa,west,california,arena venture,2015,incubator,"www.arenavc.com
","373 rose ave, venice, ca 90291, usa",90291,https://in.linkedin.com/company/arena-ventures,NaN,"
info@arenavc.com",,",advertising,marketing",seed,NaN,NaN,NaN,NaN,36.778259,-119.417931,ca
north america,usa,west,california,arrowhead research corporation,2004,NaN,http://arrowheadpharma.com/,"225 south lake avenue
 
 suite 1050
 
 pasadena, ca 91101
 
 united states",91101,https://www.linkedin.com/company-beta/140164/,(+1) 626-304-3400,info@arrowres.com,,medical services,early stage,1000000,1000000,1000000,1,36.778259,-119.417931,ca
north america,usa,west,california,arrowpath venture partners,,NaN,http://www.arrowpathvc.com/,"303 twin dolphin drive
 6th floor
 redwood shores, ca 94065
 united states",94065,NaN,(+1)650-551-6460,vc@arrowpathvc.com,,"enterprise,infrastructure technologies,",all,1000000,26000000,278000000,34,36.778259,-119.417931,ca
north america,usa,west,california,artemis ventures,1999,venture capital,http://www.co-capital.com/artemis/indexa.html,"20111 stevens creek boulevard
 
 suite 130
 
 cupertino, ca 95014
 
 united states",95014,NaN,(+1)408-252-3900,info@co-capital.com,,"enterprise software,infrastructure,communications,network infrastructure ",early stage,850000,15000000,32600000,4,36.778259,-119.417931,ca
north america,united states of america,west,california,artiman ventures,2000,private,http://www.artiman.com/,"2000 university ave #602, east palo alto, ca 94303",94303,https://www.linkedin.com/company/artiman-ventures/?originalsubdomain=in,(+1) 650-845-2020,info@artiman.com,,technology,"seed , early stage",1000000,100000000,1140000000,80,36.778259,-119.417931,ca
north america,usa,west,california,artis venture,2005,venture capital,http://www.av.co/,"988 market street
 
 san francisco, 94102
 california, united states",94102,http://www.linkedin.com/company/artis-ventures,(+1) 415-344-6200,contact@artisventures.com,,"health technology,cloud and storage,internet and consumer,renewable technology,telecom and networking sectors",all,2000000,75000000,NaN,64,36.778259,-119.417931,ca
north america,usa,west,california,asia pacific ventures,1989,NaN,http://www.apcinvestors.com/,"3 lagoon drive
 
 suite 170
 redwood city, ca 94065
 united states",94065,NaN,(+1)650-585-3300,NaN,,NaN,all,17000000,57000000,95000000,5,36.778259,-119.417931,ca
north america,usa,west,california,asiatech management,1997,angel group,http://www.asiatechventure.com/,"2041 mission college boulevard
 santa clara, ca 95054
 united states",95054,NaN,(+1)408-330-9366,NaN,,investments,early stage,600000,60000000,182450000,18,36.778259,-119.417931,ca
north america,usa,west,california,aspen ventures,1983,venture capital,http://www.aspenventures.com/,"1000 fremont avenue
 suite 200
 los altos, ca 94024-6055
 united states",94024-6055,NaN,(+1)650-917-5670,NaN,,"health care ,software,bio technology companies",early stage,1000000,25000000,116000000,11,36.778259,-119.417931,ca
north america,usa,west,california,astellas venture management,2005,private equity firm,http://www.astellasventure.com/,"2882 sand hill road, suite 121
 menlo park, ca 94025
 united states",94025,NaN,NaN,NaN,,"investment,management advisory,",all,5000000,10000000,60000000,30,36.778259,-119.417931,ca
north america,usa,west,california,ata ventures,2003,private equity firm,http://www.ataventures.com/,"203 redwood shores parkway
 suite 550
 redwood city, ca 94065
 united states",NaN,http://www.linkedin.com/company/ata-ventures,(+1)650-594-0189,contact@ataventures.com,,information technology,all,500000,75000000,NaN,91,36.778259,-119.417931,ca
north america,usa,west,california,"atel ventures, inc.",1999,NaN,http://www.atel.com/ventures,"the transamerica pyramid
 600 montgomery street, 9th fl
 san francisco, ca 94111
 united states",94111,http://www.linkedin.com/company/atel-securities-corporation,(+1)800-543-2835,NaN,,"information technology,life sciences,green technologies",all,3000000,55000000,190500000,13,36.778259,-119.417931,ca
north america,usa,west,california,athena technology ventures,1997,venture capital,http://www.athenatv.com/,"55 east third avenue
 
 san mateo, ca 94301
 
 united states",94301,NaN,(+1)650-470-0378,info@draperathena.com perathena.com,,"information technology,cleantech, software ,semiconductors,networking systems ",early stage,3000000,47000000,136300000,11,36.778259,-119.417931,ca
north america,usa,west,california,"atherton venture partners, llc",,venture capital,http://www.athertonventures.com/,"750 menlo avenue
 suite 200
 menlo park, ca 94025
 united states",94025,NaN,(+1)650-323-8357,NaN,,"healthcare,life science,information technology",late/mature stage,3000000,16000000,52600000,7,36.778259,-119.417931,ca
north america,united states of america,west,california,atrium capital,1991,private,http://www.atriumcapital.com/our-business.php,"3000 sand hill cir, menlo park, ca 94025",94025,https://www.linkedin.com/company/atrium-capital-corporation/?originalsubdomain=in,(+1) 650-233-7878,NaN,,"video,hardware and,software,enterprise software",seed,1000000,12000000,21900000,4,36.778259,-119.417931,ca
north america,usa,west,california,atrium capital corporation,1991,NaN,http://www.atriumcapital.com/,"3000 sand hill road
 building 2, suite 130
 menlo park, ca 94025
 united states",94025,NaN,(+1)650-233-7878,NaN,,"advanced materials,energy,transportation,information technology,wireless communications sectors",all,1000000,12000000,22000000,4,36.778259,-119.417931,ca
north america,united states of america,west,california,august capital,1995,private,http://www.augustcap.com/,"2480 sand hill road
suite 101
menlo park, ca 94025
 ",94025,https://in.linkedin.com/company/august-capital,(+1) 650-234-9900,businessplans@augustcap.com,,"mobile,advertising,enterprise software,analytics,semiconductors,ecommerce,big data",NaN,1100000,325000000,5100000000,235,36.778259,-119.417931,ca
north america,united states of america,west,california,avalon ventures,1983,private,http://www.avalon-ventures.com/,"1134kline st, la jolla, ca 92037",92037,https://in.linkedin.com/company/avalon-ventures,(+1) 858-348-2180,info@avalon-ventures.com,,"enterprise software,biotechnology,advertising","seed , early stage, later/mature stage",750000,63000000,1600000000,155,36.778259,-119.417931,ca
north america,usa,west,california,"avalon ventures, llc",1983,partners,www.avalon-ventures.com,1134 kline street la jolla,92037,https://www.linkedin.com/company/avalon-ventures/?originalsubdomain=in,(+1) 858-348-2180,info@avalon-ventures.com,,"information technology,life sciences","early stage venture, 
late stage venture, 
seed",800000,63000000,NaN,156,36.778259,-119.417931,ca
north america,usa,west,california,avtech ventures,2001,venture capital,NaN,"1201 camino del mar
 suite 215
 del mar, ca 92014
 
 united states",92014,NaN,NaN,NaN,,information technology,early stage,9000000,16000000,25000000,2,36.778259,-119.417931,ca
north america,usa,west,california,"azure capital
 partners",2000,private firm,azurecap.com,"105 battery street san francisco,
ca",94111,https://www.linkedin.com/company/azure-capital-partners/?originalsubdomain=in,(+1) 415- 276- 5500,"info@azurecap.
com",,"communications,consumer,enterp,rise,internet,it,infrastructure","early stage venture,
 late stage venture,
 seed",500000,50000000,NaN,131,36.778259,-119.417931,ca
north america,usa,west,california,azure capital partners,2000,NaN,http://www.azurecap.com/,"1050 battery street
 suite 100
 san francisco, ca 94111
 united states",94111,https://www.linkedin.com/company/azure-capital-partners,(+1)415-276-5500,info@azurecap.com,,"technology,communications,internet,information technology,infrastructure companies",all,665000,100000000,NaN,131,36.778259,-119.417931,ca
north america,usa,west,california,ba venture partners,,venture capital,NaN,"950 tower lane
 
 suite 1150
 
 foster city, ca 94404
 
 united states",94404,NaN,(+1) 650 378 6000,NaN,,"healthcare,it",all,3500000,102500000,335500000,11,36.778259,-119.417931,ca
north america,usa,west,california,band of angels,1994,private equity firm,http://bandangels.com/,"535 middlefield road
 suite 190
 menlo park, ca 94025
 united states",94025,https://www.linkedin.com/company/62280?trk=tyah&trkinfo=clickedvertical%3acompany%2cclickedentityid%3a62280%2cidx%3a2-1-2%2ctarid%3a1449526974714%2ctas%3aband%20of%20angels,(+1)650-321-0852,contact@bandangels.com,,"electronics,biotechnology,software,telecommunications,internet,life sciences,industrial",all,350000000,60000000,NaN,99,36.778259,-119.417931,ca
