Continent,Country,Region,State,Name of VC,Year of Establishment,Type of Investor,Website,Postal Address,Pincode,LinkedIn Details,Phone Details,Email Address,Sectors dealt with,Investment Stage,Investment Amount Minimum,Investment Amount Maximum,Previously Invested Total Amount,Total number of companies funded so far,Latitude,Longitude,Code ,
North America,United States of America,Northeast,Boston,Cue Ball Capital,2008,Venture Capital,http://www.cueball.com/,"CUE BALL Capital
1 Faneuil Hall Square
7th Floor, Boston, MA ",2109,http://www.linkedin.com/company/1489213,(+1)617-542-0033 ,"
ideas@cueball.com ","
Analytics
Big Data
Cloud Data
Services
Digital Media
Enterprise Software
Information Services
SaaS ",,800K,126M,380.4M,33,42.361145,-71.057083,MA,
North America,United States of America,Northeast,Boston,Data Point Capital,2012,Venture Capital,datapointcapital.com,"One Marina Park Drive
10th Floor
Boston, MA ",2210,,(+1)617-874-5152,"
info@datapointcapital.com ","Cloud Infrastructure 
E-Commerce
Venture Capital ","Early Stage Venture 
Seed ",322K,24M,106.722M,18,42.361145,-71.057083,MA,
North America,United States of America,Northeast,Boston,Indicator Ventures,2013,Venture Capital,http://www.indicatorventures.com/,"373 Washington Street, 10th Floor, Boston, MA ",2108,https://www.linkedin.com/company-beta/5219714,,,"Finance
Financial Services
Venture Capital","Early Stage Venture
Seed ",120K,9M,69.985M,32,42.361145,-71.057083,MA,
North America,United States of America,Northeast,Boston,Kepha Partners,,Venture Capital,https://www.kephapartners.com/,"303 Wyman Street, Suite 300   Waltham, MA ",2451,,,,"Advertising
Consumer
FinTech
SaaS 
Security ","Early Stage Venture
Late Stage Venture
Seed ",500K,16.7M,141.05M,36,42.361145,-71.057083,MA,
North America,United States of America,Northeast,Boston,NextView Ventures,2010,Venture Capital,http://www.nextviewventures.com/,"179 Lincoln Street, #404
Boston, MA ",2111,http://www.linkedin.com/company/nextview-ventures,,,"Consumer
Finance
Internet 
Venture Capital ","Debt
Seed",350K,100M,760.377M,113,42.361145,-71.057083,MA,
North America,United States of America,Northeast,Boston,Progress Ventures,2008,Venture Capital,http://www.progressventures.com/,"50 Milk Street, 16th Floor, Boston, MA ",2109,http://www.linkedin.com/company/progress-ventures,(+1)212-609-6914 ,"
contact@progressventures.com ","Advertising
Media 
Entertainment ","Debt
Early Stage Venture, Late Stage Venture
Seed ",500K,25M,51.1M,11,42.361145,-71.057083,MA,
North America,United States of America,Northeast,Boston,Project 11,2014,Venture Capital,http://www.project11.com/,,,https://www.linkedin.com/company/1550903,,"
bob@project11.com ","Advertising 
Consumer 
Information Technology
 Mobile 
Security 
Venture Capital ",Seed,120K,5.5M,21.42M,21,42.361145,-71.057083,MA,
North America,United States of America,Northeast,Boston,Resolute VC,2012,Venture Capital,http://www.resolute.vc/,,,https://www.linkedin.com/company/resolute-ventures,,,"Business Development
Financial Services
Venture Capital","Early Stage Venture
Seed ",200K,38M,424.675M,80,42.361145,-71.057083,MA,
North America,USA,West,California,10x Greenhouse Ventures,,Venture Capital,http://www.10xgreenhouse.com/,"839 Mitten Road
 Burlingame, CA 94010
 United States",94010,,(+1)650-697-7120,pquadros@10xgreenhouse.com,life Science,Early Stage,1.5M,21M,22M,3,36.778259,-119.417931,CA,
North America,USA,West,California,137 Ventures,2010,Private Equity Firm,http://137ventures.com/,"49 Greay Street
 San Francisco, CA 94108
 United States",94108,,(+1)415-513-5222,info@137ventures.com,"investment management
 , advisory",Early Stage,4M,85M,219M,15,36.778259,-119.417931,CA,
North America,United States of America,West,California,500 Startups,2010,Private,http://500.co/,"444 Castro Street Suite 1200
Mountain View, CA 34041
 ",34041,https://in.linkedin.com/company/500-startups,,christine@500startups.com,"Mobile, 
E-Commerce, 
Cloud Storage, 
Big Data, 
Education, 
SaaS, 
Biotech, 
Advertising, 
Manufacturing","Early Stage, Seed",0.01M,85M,2.5B,1666,36.778259,-119.417931,CA,
North America,USA,West,California,5AM venture,2002,private,http://5amventures.com/,501 second street suite 350 San francisco CA94107,94107,https://www.linkedin.com/in/5am-ventures-347813137,(+1)415-993-8570,info@5amventures.com,"medical,
scientific,
legal and finace",All,5M,80M,523.3M,109,36.778259,-119.417931,CA,
North America,United States of America,West,California,5AM Ventures,2002,Private,http://www.5amventures.com/,"501 Second Street
Suite 350
San Francisco, CA 94107
 ",94107,https://in.linkedin.com/company/5amventures,(+1) 415-993-8570,,"Pharmaceuticals 
Biotechnology","Seed , Growth Stage, Early Stage",1M,94M,3.2B,110,36.778259,-119.417931,CA,
North America,USA,west,california,8VC,2015,Private Firm,www.8vc.com,"501 2nd St #300, San Francisco",94107,https://www.linkedin.com/company/10317593/?trk=prof-exp-company-name,(+1) 415-366-8422,media@8vc.com,IT Infrastructure,,2M,70M,,72,36.778259,-119.417931,CA,
North America,USA,West,California,A-Grade Investments,2010,Private Equity Firm,http://www.agradeinvestments.com/,"Los Angeles, CA
 United States",,,,,Technology,all,750K,200M,728.84M,49,36.778259,-119.417931,CA,
North America,USA,West,california,Aberdare Ventures,1999,Private Firm,http://www.aberdare.com/,"235 Montgomery Street
 Suite 1230
 San Francisco, CA 94104
 United States",94104,https://www.linkedin.com/company/aberdare-ventures/,(+1)415-392-4264,,healthcare,All,100K,58M,720M,63,36.778259,-119.417931,CA,
North America,United States of America,West,California,ABS Capital Partners,1990,Private,http://www.abscapital.com/,"400 East Pratt Street
Suite 910
Baltimore, MD 21202-3127
 ",,https://www.linkedin.com/company/abs-capital-partners/?originalSubdomain=in,(+1) 410-246-5600,abscapital@abscapital.com,"Business and Education services, 
Information and Communication
Technology, 
Healthcare",,2.5M,70M,1.5B,70,36.778259,-119.417931,CA,
North America,USA,West,California,Acacia Venture Partners,1995,Venture Capital,http://www.acaciavp.com/,"235 Montgomery Street
 Suite 967
 San Francisco, CA 94104
 United States",94104,,(+1)415-433-4200,,Healthcare,Early Stage,6.7M,30M,,16,36.778259,-119.417931,CA,
North America,United States of America,West,California,Accel Partners,1983,Private,http://www.accel.com/,"500 University Avenue
Palo Alto, CA 94301
 ",94301,https://www.linkedin.com/company/accel-partners/?originalSubdomain=in,(+1) 650-614-4800,,"Software, 
Mobile, 
Big Data, 
Internet of Things, 
Security","Seed , Startups, Early Stage, Growth Stage",0.1M,1794M,30B,1165,36.778259,-119.417931,CA,
North America,USA,West,California,Accel-KKR LLC,2002,Private Equity Firm,www.accel-kkr.com,"2500 Sand Hill Road
 
 Suite 300
 Menlo Park, CA 94025
 United States",94025,http://www.linkedin.com/company/57752,(+1)650-289-2460,inquiries@accel-kkr.com,"mezzanine investments.
 Buyouts",All,10M,140M,442M,40,36.778259,-119.417931,CA,
North America,USA,West,California,Accer Technology Ventures America,1998,Private Equity Firm,http://www.idsoftcapital.com/,"2641 Orchard Parkway
 
 San Jose, CA 95134
 United States",95134,,(+1)408-922-2933,info@idsoftcapital.com,Enterprice Software,Early Stage,1M,37M,242M,21,36.778259,-119.417931,CA,
North America,USA,West,California,Acer Technology Ventures,1998,Venture Capital,http://www.idsoftcapital.com/,"2641 Orchard Parkway
 
 San Jose, CA 95134
 
 United States",95134,,(+1) 408-922-2933,info@idsoftcapital.com,,Early stage,1M,28M,242.58M,21,36.778259,-119.417931,CA,
North America,USA,West,California,Acorn Ventures INC,,Venture Capital,http://www.acorn-ventures.com/,"2635 North First Street
 Suite 148
 San Jose, CA 95134
 United States",95134,,(+1)510-459-6500,partners@acorn-ventures.com,"mezzanine financing,
 angel investment,
 private placement.","Seed, Early stage, Start-ups",7.5M,25M,32.5M,2,36.778259,-119.417931,CA,
North America,USA,West,California,"Acuity Ventures, LLC",,Venture Capital,http://www.acuityventures.com/,"1960 The Alameda
 
 Suite 200
 
 San Jose, CA 95126-1441
 
 United States",95126,,(+1) 408-210-8394,,"Financial Service
 Investment Services",Early stage,,,,2,36.778259,-119.417931,CA,
North America,USA,West,California,Adobe Ventures,,Venture Capital,http://www.adobe.com/ventures.html,"345 Park Avenue
 San Jose, CA 95110-2704
 United States",95110,,(+1)408-536-6000,newventure@adobe.com,"communications,
 enterprise software,
 imaging,
 media and publishing,
 internet infrastructure.",All,2M,30M,,,36.778259,-119.417931,CA,
North America,United States of America,West,California,Advanced Technology Ventures,1979,Private,http://www.atvcapital.com/,"2884 Sand Hill Road
Suite 121
Menlo Park, CA 94025
 ",94025,,(+1) 650-321-8601,info@atvcapital.com,"IT, 
Healthcare, 
Clean Tech","Seed , Startups, Early Stage, Later/Mature Stage, Growth Stage",0.25M,150M,4.5B,233,36.778259,-119.417931,CA,
North America,United States of America,West,California,AF Square,,Venture Capital,http://afsquare.com/,,,,"
(+1)310-828-7200 ","
info@afsquare.com ","Finance
FinTech ",,350K,250M,560.135M,44,36.778259,-119.417931,CA,
North America,USA,West,California,Agilent Ventures,2000,Corporate Venture Capital,,"5301 Stevens Creek Blvd
 Santa Clara, CA 95051
 United States",95051,,,,"wireline and optical communications,
 wireless communications,
 and life sciences",Early Stage,7M,60M,,7,36.778259,-119.417931,CA,
North America,USA,West,California,Akers Capital,,Venture Capital,http://www.akerscapital.com/,"5207 Sunrise Boulevard
 
 Suite 220
 
 Fair Oaks, CA 95628
 
 United State",95628,,(+1) 916-966-2236,,"Internet infrastructure 
  computer software ",Early Stage,2.8M,7M,9.8M,2,36.778259,-119.417931,CA,
North America,USA,West,California,Alacrity Ventures,,Angel group,http://www.alacritymanagement.com/,"1563 Solano Avenue
 Suite 353
 Berkeley, CA 94707-2116
 United States",94707,,(+1)510-649-4030,invest@alacrityventures.com,"Internet,
 security 
 privacy,",,1.2M,2.5M,3.7M,2,36.778259,-119.417931,CA,
North America,USA,West,California,Alafi Capital,,Venture Capital,http://www.alafi.com/,"1333 Jones Street
 Suite 1702
 San Francisco, CA 94109
 United States",94109,,,bill@alafi.com,"biotechnology,
 life science technologies, 
 imaging and diagnostics,
 medical devices companies",All,2.7M,50M,171M,13,36.778259,-119.417931,CA,
North America,USA,west,california,"Alexandria Real Estate Equities, LLC",1994,Private Firm,http://www.are.com,"385 East Colorado Boulevard, Suite 299, Pasadena",1832,https://www.linkedin.com/company/alexandria-real-estate-equities-inc-/,(+1) 626-578-0777,corporateinformation@are.com,"Engineering,
 Asset management,
 Laboratory operations,
 Life science, 
Construction,
 Planning,
 Health 
 environment","Early Stage Venture, 
Late Stage Venture",1.5M,76M,712.3M,37,36.778259,-119.417931,CA,
North America,United States of America,West,California,Alexandria Venture Investments,1996,Private,http://www.acks.com/venture.shtml,"385 East Colorado Blvd
 Suite 299
 Pasadena, CA 91101
  ",91101,https://www.linkedin.com/company/alexandria-real-estate-equities-inc-,(+1) 626-578-0777,tandrews@are.com,"Pharmaceuticals 
Biotechnology",,5.9M,500M,1.8B,29,36.778259,-119.417931,CA,
,,West,California,"Allegiance Capital, L.P.",1988,Private Equity Firm,http://www.allegiancecapital.com/,"300 Pacific Coast Highway
 Suite 405
 Huntington Beach, CA 92648
 
 United States",92648,,(+1)714-969-0521,,"Capital management
 Asset management
 Taxes",Early Stage,15M,15M,15M,1,36.778259,-119.417931,CA,
North America,USA,West,California,Allegis Capital,1982,,http://www.allegiscapital.com/,"525 University Avenue
 Suite 220
 Palo Alto, CA 94301
 United States",94301,https://www.linkedin.com/company-beta/50855/,(+1)650-687-0500,vc@allegiscapital.com,"cyber security, 
 data analytics,
 and technology",All,400K,35M,1.7B,97,36.778259,-119.417931,CA,
North America,United States of America,West,California,Alloy Ventures,1996,Private,http://www.alloyventures.com/,"1415 Hamilton Avenue
Palo Alto, CA 94301
 ",94301,https://in.linkedin.com/company/alloy-ventures,,info@alloyventures.com,"Software, 
Systems, 
Mobile, 
Semiconductor, 
Life Sciences, 
Clean Technology","Seed , Startups, Early Stage",0.7M,132M,3.3B,170,36.778259,-119.417931,CA,
North America,United States of America,West,California,Alsop Louie Partners,2006,Private,http://www.alsop-louie.com/,"943 Howard St, San Francisco, CA 94103",94103,https://in.linkedin.com/company/alsop-louie-partners,,,"New Media, 
Gaming, 
SaaS, 
Cloud Infrastructure, 
Security, 
Mobile","Growth Stage, Early Stage",1M,33.5M,504M,67,36.778259,-119.417931,CA,
North America,USA,West,California,Alta Partners,1996,Private Equity Firm,http://www.altapartners.com/,"One Embarcadero Center
 37th Floor
 San Francisco, CA 94111
 United States",94111,https://www.linkedin.com/company/alta-partners/,(+1) 415-362-4022,alta@altapartners.com,"lifescience 
 biotechnology
 medical technology 
 healthcare
 biopharmaceutical product",All,5M,750M,,202,36.778259,-119.417931,CA,
North America,USA,West,California,Altos Ventures,1996,Venture Capital,http://www.altos.vc/,"2882 Sand Hill Road
 Suite 100
 Menlo Park, CA 94025
 United States",94025,https://www.linkedin.com/company/395378,,info@altos.vc,,All,680K,65M,,158,36.778259,-119.417931,CA,
North America,USA,West,California,"AltoTech Ventures, LLC",2000,Venture Capital,,"707 Menlo Avenue
 Suite 120
 Menlo Park, CA 94025
 United States",94025,,(+1)650-574-1870,,"networking,
 cloud security software,
 semiconductor,
 cleantech
 , and telecommunications",,,,,,36.778259,-119.417931,CA,
North America,USA,West,California,Ambex Venture Group,1996,,http://www.ambex.com/,"1245 Oakmead Parkway
 Sunnyvale, CA 94085
 United States",94085,,(+1)408-523-6000,info@ambex.com,"information technology, 
 health science,
 financial service",,,,,,36.778259,-119.417931,CA,
North America,United States of America,West,California,AME Cloud Ventures,2012,Private,http://www.amecloudventures.com/,"720 University Avenue
Suite 200
Los Gatos, CA 95032
 ",95032,https://www.linkedin.com/company/ame-cloud-ventures/?originalSubdomain=in,,pr@amecloudventures.com,Software,"Early Stage, Growth Stage",0.1M,160M,2.9B,187,36.778259,-119.417931,CA,
North America,USA,West,California,American River Ventures,2001,Venture Capital,http://www.arventures.com/,"1355 38th Street
 
 Sacramento, CA 95816
 
 United States",95816,,,,"software 
  semiconductors 
  communications 
  electronics","Early Stage Venture, Late Stage Venture",1.5M,30M,272.5M,28,36.778259,-119.417931,CA,
North america,USA,West,California,Amgen Ventures,2004,Venture Capital,http://www.amgen.com/,"1 Amgen Center Drive
 Thousand Oaks, CA 91320-1799
 United States",91320,http://www.linkedin.com/company/amgen,(+1) 805-447-1000,investor.relations@amgen.com,Biotechnology,Startups,6M,30M,,63,36.778259,-119.417931,CA,
North America,USA,West,California,Amidzad Partners,1998,Private Equity Firm,http://www.amidzad.com/,"370 Convention Way
 Redwood City, CA 94063
 United States",94063,,(+1) 650-216-2384,marc@amidzad.com,"information technology 
 life science",All,320K,26M,123.2M,45,36.778259,-119.417931,CA,
North America,USA,west,california,"Andreessen
 Horowitz",2009,Private Firm,https://a16z.com,"2865 Sand Hill Road, Suite 101
Menlo park,CA",94025,https://www.linkedin.com/company/andreessen-horowitz/?originalSubdomain=in,,"businessplans
@a16z.com",Internet,"early stage
late stage",3M,502M,,598,36.778259,-119.417931,CA,
North America,USA,west,california,"Andreessen 
Horowitz",2009,Private Firm,www.a16z.com,"2865 Sand Hill Rd, Menlo Park, CA",94025,https://www.linkedin.com/company/andreessen-horowitz/?originalSubdomain=in,,businessplans@a16z.com,consumer and enterprise technology ,"Debt, Early Stage Venture,
 Late Stage Venture, 
Private Equity, 
Seed",,,7.1B,598,36.778259,-119.417931,CA,
North America,USA,Western,California,Andreessen Horowitz,2009,Private Equity Firm,www.a16z.com,"2865 Sand Hill Road
Suite 101
Menlo Park, CA 94025
United States",94025,https://www.linkedin.com/company/andreessen-horowitz,,businessplans@a16z.com,"Social Media,
 technology, 
Software, 
Backend Infrastructure,
 Cloud Computing, 
enterprise software and services,
 financial technology,
 consumer
, business internet
, mobile internet, 
data storage
,networking functions, 
biotechnology, 
life sciences, 
computational medicine",Early and Late Stage,10K,100M,6.3B,589,36.778259,-119.417931,CA,
North America,United States of America,West,California,Andreessen Horowitz,2009,Private,http://a16z.com/,"Menlo Park, California",,https://in.linkedin.com/company/andreessen-horowitz,,businessplans@a16z.com,"Enterprise Software, 
Mobile","Seed , Startups, Early Stage, Growth Stage",0.085M,950M,19.6B,595,36.778259,-119.417931,CA,
North America,USA,West,California,AngelList,2010,Angel group,http://angel.co/,"16 Maiden Lane
 Suite 600
 San Francisco, CA 94108
 United States",94108,http://www.linkedin.com/company/angellist,(+1)650-851-1735,team@angel.co,Human Resources,"Early stage, start-ups",500K,100M,3542M,44,36.778259,-119.417931,CA,
north america,USA,West,california,Anthem Venture Partner,2000,Venture Capital,http://www.anthemvp.com/,"225 Arizona Avenue Suite 200,Santa Monica CA 90401",90401,https://in.linkedin.com/company/anthem-venture-partners,(+1) 310-899-6225,"
info@anthemvp.com","information technology
software
semiconductors
new media ","Private Equity
Seed
Early Stage
Late Stage",1M,5M,,,36.778259,-119.417931,CA,
North America,USA,West,California,Applied Ventures,,Corporate Venture Capital,http://appliedventures.com/,"3050 Bowers Avenue
 
 MS 0105
 
 P.O. Box 58039
 
 Santa Clara, CA 95054-8039
 
 United States",95054,http://www.linkedin.com/company/applied-materials,(+1)408-235-668,applied_ventures@amat.com,"IoT
   3D Printing 
  robotics 
  genomics/biologics 
 energy
 cleantech
 nanotechnology",All,1.5M,131M,295.44M,55,36.778259,-119.417931,CA,
North America,USA,West,California,APV Technology Partners,,Venture Capital,,"2370 Watson Court
 
 Suite 200
 
 Palo Alto, CA 94303-3226
 
 United States",94303,,(+1) 650-354-3200,,IT,Growth Stage,4.3M,58.6M,541.09M,23,36.778259,-119.417931,CA,
North America,USA,West,California,"Aragon Ventures, Inc.",1998,Private Equity Firm,http://www.aragonventures.com/,"1455 Adams Drive
 
 Suite 1010
 Menlo Park, CA 94025
 United States",94025,,(+1)650-566-8000,info@aragonventures.com,High technology enterprice,Early Stage,2M,16.5M,18.5M,2,36.778259,-119.417931,CA,
North America,USA,West,California,Arcturus Capital,,Venture Capital,http://www.arcturusvc.com/,"199 South Los Robles Avenue
 Suite 535
 Pasadena, CA 91101
 United States",91101,,(+1)626-578-5700,info@arcturusvc.com,"venture capital investing
  professional investment management  
 executive operating experience 
  advanced scientific research services.",Early Stage,2M,37.4M,172.5M,15,36.778259,-119.417931,CA,
north america,USA,West,california,Arena Venture,2015,Incubator,"www.arenavc.com
","373 Rose Ave, Venice, CA 90291, USA",90291,https://in.linkedin.com/company/arena-ventures,,"
info@arenavc.com","
Advertising
Marketing",Seed,,,,,36.778259,-119.417931,CA,
North America,USA,West,California,Arrowhead Research Corporation,2004,,http://arrowheadpharma.com/,"225 South Lake Avenue
 
 Suite 1050
 
 Pasadena, CA 91101
 
 United States",91101,https://www.linkedin.com/company-beta/140164/,(+1) 626-304-3400,info@arrowres.com,Medical Services,Early Stage,1M,1M,1M,1,36.778259,-119.417931,CA,
North America,USA,West,California,Arrowpath Venture Partners,,,http://www.arrowpathvc.com/,"303 Twin Dolphin Drive
 6th Floor
 Redwood Shores, CA 94065
 United States",94065,,(+1)650-551-6460,vc@arrowpathvc.com,"enterprise 
 infrastructure technologies,",All,1M,26M,278M,34,36.778259,-119.417931,CA,
North America,USA,West,california,Artemis Ventures,1999,Venture Capital,http://www.co-capital.com/artemis/indexA.html,"20111 Stevens Creek Boulevard
 
 Suite 130
 
 Cupertino, CA 95014
 
 United States",95014,,(+1)408-252-3900,info@co-capital.com,"enterprise software
  infrastructure
  communications 
 network infrastructure ",Early Stage,850K,15M,32.6M,4,36.778259,-119.417931,CA,
North America,United States of America,West,California,Artiman Ventures,2000,Private,http://www.artiman.com/,"2000 University Ave #602, East Palo Alto, CA 94303",94303,https://www.linkedin.com/company/artiman-ventures/?originalSubdomain=in,(+1) 650-845-2020,info@artiman.com,Technology,"Seed , Early Stage",1M,100M,1.14B,80,36.778259,-119.417931,CA,
North America,USA,West,California,Artis Venture,2005,Venture Capital,http://www.av.co/,"988 Market Street
 
 San Francisco, 94102
 California, United States",94102,http://www.linkedin.com/company/artis-ventures,(+1) 415-344-6200,contact@artisventures.com,"health technology 
 cloud and storage 
 internet and consumer 
 renewable technology 
 telecom and networking sectors.",All,2M,75M,,64,36.778259,-119.417931,CA,
North America,USA,West,California,Asia Pacific Ventures,1989,,http://www.apcinvestors.com/,"3 Lagoon Drive
 
 Suite 170
 Redwood City, CA 94065
 United States",94065,,(+1)650-585-3300,,,All,17M,57M,95M,5,36.778259,-119.417931,CA,
North America,USA,West,California,AsiaTech Management,1997,Angel Group,http://www.asiatechventure.com/,"2041 Mission College Boulevard
 Santa Clara, CA 95054
 United States",95054,,(+1)408-330-9366,,Investments,Early Stage,600K,60M,182.45M,18,36.778259,-119.417931,CA,
North America,USA,West,California,Aspen Ventures,1983,Venture Capital,http://www.aspenventures.com/,"1000 Fremont Avenue
 Suite 200
 Los Altos, CA 94024-6055
 United States",94024-6055,,(+1)650-917-5670,,"health care  
 software 
  bio technology companies",Early Stage,1M,25M,116M,11,36.778259,-119.417931,CA,
North america,USA,West,California,Astellas Venture Management,2005,Private Equity Firm,http://www.astellasventure.com/,"2882 Sand Hill Road, Suite 121
 Menlo Park, CA 94025
 United States",94025,,,,"investment
 management advisory,",All,5M,10M,60M,30,36.778259,-119.417931,CA,
North America,USA,West,California,ATA Ventures,2003,Private Equity Firm,http://www.ataventures.com/,"203 Redwood Shores Parkway
 Suite 550
 Redwood City, CA 94065
 United States",,http://www.linkedin.com/company/ata-ventures,(+1)650-594-0189,contact@ataventures.com,Information technology,All,500K,75M,,91,36.778259,-119.417931,CA,
North America,USA,West,California,"ATEL Ventures, Inc.",1999,,http://www.atel.com/ventures,"The Transamerica Pyramid
 600 Montgomery Street, 9th Fl
 San Francisco, CA 94111
 United States",94111,http://www.linkedin.com/company/atel-securities-corporation,(+1)800-543-2835,,"information technology, 
 life sciences,
 green technologies.",All,3M,55M,190.5M,13,36.778259,-119.417931,CA,
North America,USA,West,California,Athena Technology Ventures,1997,Venture Capital,http://www.athenatv.com/,"55 East Third Avenue
 
 San Mateo, CA 94301
 
 United States",94301,,(+1)650-470-0378,info@draperathena.com perathena.com,"information technology 
  cleantech
   software  
 semiconductors 
  networking systems ",Early Stage,3M,47M,136.3M,11,36.778259,-119.417931,CA,
North America,USA,West,California,"Atherton Venture Partners, LLC",,Venture Capital,http://www.athertonventures.com/,"750 Menlo Avenue
 Suite 200
 Menlo Park, CA 94025
 United States",94025,,(+1)650-323-8357,,"healthcare,
 life science,
 information technology",Late/Mature Stage,3M,16M,52.6M,7,36.778259,-119.417931,CA,
North America,United States of America,West,California,Atrium Capital,1991,Private,http://www.atriumcapital.com/our-business.php,"3000 Sand Hill Cir, Menlo Park, CA 94025",94025,https://www.linkedin.com/company/atrium-capital-corporation/?originalSubdomain=in,(+1) 650-233-7878,,"Video, 
Hardware and 
Software, 
Enterprise Software",Seed,1M,12M,21.9M,4,36.778259,-119.417931,CA,
North America,USA,West,California,Atrium Capital Corporation,1991,,http://www.atriumcapital.com/,"3000 Sand Hill Road
 Building 2, Suite 130
 Menlo Park, CA 94025
 United States",94025,,(+1)650-233-7878,,"advanced materials
 , energy,
 transportation,
 information technology, 
 wireless communications sectors.",All,1M,12M,22M,4,36.778259,-119.417931,CA,
North America,United States of America,West,California,August Capital,1995,Private,http://www.augustcap.com/,"2480 Sand Hill Road
Suite 101
Menlo Park, CA 94025
 ",94025,https://in.linkedin.com/company/august-capital,(+1) 650-234-9900,businessplans@augustcap.com,"Mobile, 
Advertising, 
Enterprise Software, 
Analytics, 
Semiconductors,
E-Commerce, 
Big Data",,1.1M,325M,5.1B,235,36.778259,-119.417931,CA,
North America,United States of America,West,California,Avalon Ventures,1983,Private,http://www.avalon-ventures.com/,"1134Kline St, La Jolla, CA 92037",92037,https://in.linkedin.com/company/avalon-ventures,(+1) 858-348-2180,info@avalon-ventures.com,"Enterprise Software, 
Biotechnology, 
Advertising","Seed , Early Stage, Later/Mature Stage",0.75M,63M,1.6B,155,36.778259,-119.417931,CA,
